id_respon,timestamp,layanan,komentar_teks,id_pengisian,urut_komentar,label_manual,teks_casefold,tokens,tokens_nostop,tokens_stem,teks_bersih
001-01,08/01/2026 22:22:25,Portal Akademik (WEB),"terkadang bisa logout otomatis, jdi harus mengulang login sebanyak 2x.",1,1,negatif,terkadang bisa logout otomatis jdi harus mengulang login sebanyak x,"['terkadang', 'bisa', 'logout', 'otomatis', 'jdi', 'harus', 'mengulang', 'login', 'sebanyak']","['terkadang', 'logout', 'otomatis', 'jdi', 'mengulang', 'login', 'sebanyak']","['terkadang', 'logout', 'otomatis', 'jdi', 'mengulang', 'login', 'sebanyak']",terkadang logout otomatis jdi mengulang login sebanyak
001-02,08/01/2026 22:22:25,MyClass UMSU,"informasi penggunaannya sangat mudah dipahami, good!",1,2,positif,informasi penggunaannya sangat mudah dipahami good,"['informasi', 'penggunaannya', 'sangat', 'mudah', 'dipahami', 'good']","['informasi', 'penggunaannya', 'mudah', 'dipahami', 'good']","['informasi', 'penggunaannya', 'mudah', 'dipahami', 'good']",informasi penggunaannya mudah dipahami good
001-03,08/01/2026 22:22:25,WiFi Kampus,"wifi biasa, kadang cepat kadang lambat.",1,3,netral,wifi biasa kadang cepat kadang lambat,"['wifi', 'biasa', 'kadang', 'cepat', 'kadang', 'lambat']","['wifi', 'biasa', 'kadang', 'cepat', 'kadang', 'lambat']","['wifi', 'biasa', 'kadang', 'cepat', 'kadang', 'lambat']",wifi biasa kadang cepat kadang lambat
001-04,08/01/2026 22:22:25,Helpdesk/Technical Support,IT helpdesk ini bener bener ngebantu banget sih. good,1,4,positif,it helpdesk ini bener bener ngebantu banget sih good,"['it', 'helpdesk', 'ini', 'bener', 'bener', 'ngebantu', 'banget', 'sih', 'good']","['it', 'helpdesk', 'bener', 'bener', 'ngebantu', 'banget', 'sih', 'good']","['it', 'helpdesk', 'bener', 'bener', 'ngebantu', 'banget', 'sih', 'good']",it helpdesk bener bener ngebantu banget sih good
001-05,08/01/2026 22:22:25,Saran Peningkatan,tidak ada,1,5,netral,tidak ada,"['tidak', 'ada']","['tidak', 'ada']","['tidak', 'ada']",tidak ada
002-01,08/01/2026 22:24:47,Portal Akademik (WEB),"Server down, gabisa login",2,1,negatif,server down gabisa login,"['server', 'down', 'gabisa', 'login']","['server', 'down', 'gabisa', 'login']","['server', 'down', 'gabisa', 'login']",server down gabisa login
002-02,08/01/2026 22:24:47,MyClass UMSU,"UI friendly, mudah digunakan",2,2,positif,ui friendly mudah digunakan,"['ui', 'friendly', 'mudah', 'digunakan']","['ui', 'friendly', 'mudah', 'digunakan']","['ui', 'friendly', 'mudah', 'digunakan']",ui friendly mudah digunakan
002-03,08/01/2026 22:24:47,WiFi Kampus,Sejauh ini wifinya sudah bagus,2,3,positif,sejauh ini wifinya sudah bagus,"['sejauh', 'ini', 'wifinya', 'sudah', 'bagus']","['sejauh', 'wifinya', 'bagus']","['sejauh', 'wifinya', 'bagus']",sejauh wifinya bagus
002-04,08/01/2026 22:24:47,Helpdesk/Technical Support,Respon lumayan cepat,2,4,positif,respon lumayan cepat,"['respon', 'lumayan', 'cepat']","['respon', 'lumayan', 'cepat']","['respon', 'lumayan', 'cepat']",respon lumayan cepat
002-05,08/01/2026 22:24:47,Saran Peningkatan,Servernya ditingkatkan lagi,2,5,positif,servernya ditingkatkan lagi,"['servernya', 'ditingkatkan', 'lagi']","['servernya', 'ditingkatkan']","['servernya', 'ditingkatkan']",servernya ditingkatkan
003-01,08/01/2026 22:34:41,Portal Akademik (WEB),Yaa mungkin paling kadang server nya pernah down juga jadi gabisa di akses,3,1,negatif,yaa mungkin paling kadang server nya pernah down juga jadi gabisa di akses,"['yaa', 'mungkin', 'paling', 'kadang', 'server', 'nya', 'pernah', 'down', 'juga', 'jadi', 'gabisa', 'di', 'akses']","['yaa', 'mungkin', 'paling', 'kadang', 'server', 'pernah', 'down', 'jadi', 'gabisa', 'akses']","['yaa', 'mungkin', 'paling', 'kadang', 'server', 'pernah', 'down', 'jadi', 'gabisa', 'akses']",yaa mungkin paling kadang server pernah down jadi gabisa akses
003-02,08/01/2026 22:34:41,MyClass UMSU,Mungkin di hp saya download materi nya gabisa di aplikasi harus dri web,3,2,negatif,mungkin di hp saya download materi nya gabisa di aplikasi harus dri web,"['mungkin', 'di', 'hp', 'saya', 'download', 'materi', 'nya', 'gabisa', 'di', 'aplikasi', 'harus', 'dri', 'web']","['mungkin', 'hp', 'download', 'materi', 'gabisa', 'aplikasi', 'dri', 'web']","['mungkin', 'hp', 'download', 'materi', 'gabisa', 'aplikasi', 'dri', 'web']",mungkin hp download materi gabisa aplikasi dri web
003-03,08/01/2026 22:34:41,WiFi Kampus,Terkadang lemot wifinya tpi kadang juga kencang kecepatan wifinya,3,3,positif,terkadang lemot wifinya tpi kadang juga kencang kecepatan wifinya,"['terkadang', 'lemot', 'wifinya', 'tpi', 'kadang', 'juga', 'kencang', 'kecepatan', 'wifinya']","['terkadang', 'lemot', 'wifinya', 'tpi', 'kadang', 'kencang', 'kecepatan', 'wifinya']","['terkadang', 'lemot', 'wifinya', 'tpi', 'kadang', 'kencang', 'kecepatan', 'wifinya']",terkadang lemot wifinya tpi kadang kencang kecepatan wifinya
003-04,08/01/2026 22:34:41,Helpdesk/Technical Support,Bagus sih,3,4,positif,bagus sih,"['bagus', 'sih']","['bagus', 'sih']","['bagus', 'sih']",bagus sih
